City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
61,Nong Khai,TH,2020-09-28 14:38:04,17.88,102.74,82.4,83,98,4.7
62,Khatanga,RU,2020-09-28 14:38:04,71.97,102.5,31.44,96,100,14.14
63,Buala,SB,2020-09-28 14:38:04,-8.14,159.59,79.88,80,100,8.19
64,Skjervoy,NO,2020-09-28 14:38:04,70.03,20.97,51.8,76,20,11.41
65,Port Lincoln,AU,2020-09-28 14:38:04,-34.73,135.87,59.92,58,100,15.82
66,Hay River,CA,2020-09-28 14:38:05,60.82,-115.8,46.4,87,20,9.17
67,Hopelchen,MX,2020-09-28 14:38:05,19.77,-89.85,80.6,100,40,10.29
68,Yar-Sale,RU,2020-09-28 14:38:05,66.83,70.83,38.05,78,5,9.95
69,Lompoc,US,2020-09-28 14:38:05,34.64,-120.46,57.99,100,90,1.61
70,Intipuca,SV,2020-09-28 14:38:05,13.2,-88.05,80.6,74,0,1.39
71,Shaunavon,CA,2020-09-28 14:38:05,49.65,-108.42,48.16,52,43,11.39
72,Ponnani,IN,2020-09-28 14:38:06,10.77,75.93,78.8,83,40,5.82
73,Goderich,CA,2020-09-28 14:37:47,43.75,-81.72,69.01,86,100,14.18
74,Hambantota,LK,2020-09-28 14:38:06,6.12,81.12,80.6,94,20,11.41
75,Avarua,CK,2020-09-28 14:38:06,-21.21,-159.78,71.6,83,88,6.93
76,Ilulissat,GL,2020-09-28 14:38:07,69.22,-51.1,30.2,63,75,3.36
77,Castro,BR,2020-09-28 14:35:16,-24.79,-50.01,80.08,58,67,14.05
78,Tuktoyaktuk,CA,2020-09-28 14:38:07,69.45,-133.04,35.6,100,90,6.93
79,Chiang Klang,TH,2020-09-28 14:38:07,19.29,100.86,76.26,86,100,1.5
80,Mackenzie,CA,2020-09-28 14:38:08,55.3,-123.17,51.8,76,90,3.36
81,Belgaum,IN,2020-09-28 14:38:08,15.87,74.5,77.0,83,40,4.7
82,Luebo,CD,2020-09-28 14:38:08,-5.35,21.42,81.34,77,94,1.97
83,Nyrob,RU,2020-09-28 14:38:08,60.73,56.72,50.25,90,98,1.61
84,Ijuin,JP,2020-09-28 14:38:08,31.62,130.4,65.55,82,52,4.92
85,Port Elizabeth,ZA,2020-09-28 14:38:08,-33.92,25.57,62.6,51,0,13.87
86,Madhogarh,IN,2020-09-28 14:38:09,26.28,79.19,87.73,33,0,2.04
87,Jalu,LY,2020-09-28 14:38:09,29.03,21.55,105.17,9,0,13.76
88,Cabo San Lucas,MX,2020-09-28 14:35:10,22.89,-109.91,80.01,69,5,8.05
89,Fayaoue,NC,2020-09-28 14:38:09,-20.65,166.53,73.0,87,92,16.58
90,Mennecy,FR,2020-09-28 14:38:09,48.57,2.44,57.2,93,90,10.29
91,Bambous Virieux,MU,2020-09-28 14:38:09,-20.34,57.76,75.2,78,40,8.05
92,Sal Rei,CV,2020-09-28 14:38:10,16.18,-22.92,87.8,66,40,16.11
93,Amontada,BR,2020-09-28 14:38:10,-3.36,-39.83,100.0,28,1,8.05
94,Antalaha,MG,2020-09-28 14:38:10,-14.9,50.28,73.58,82,83,11.18
95,Tianpeng,CN,2020-09-28 14:38:10,30.99,103.94,69.01,33,100,4.63
96,Iqaluit,CA,2020-09-28 14:38:10,63.75,-68.51,26.6,86,90,6.93
97,Namibe,AO,2020-09-28 14:38:11,-15.2,12.15,77.0,61,73,14.99
98,Ribeira Grande,PT,2020-09-28 14:38:11,38.52,-28.7,77.0,69,40,11.41
99,Matagami,CA,2020-09-28 14:38:11,49.75,-77.63,57.2,100,75,4.7
100,Mocuba,MZ,2020-09-28 14:38:11,-16.84,36.99,95.99,23,0,11.74
101,Tchibanga,GA,2020-09-28 14:38:11,-2.85,11.03,86.04,46,56,7.87
102,Kodiak,US,2020-09-28 14:38:12,57.79,-152.41,46.4,87,90,9.69
103,Olinda,BR,2020-09-28 14:38:12,-8.01,-34.86,80.6,83,75,11.41
104,Hovd,MN,2020-09-28 14:38:12,48.01,91.64,42.33,61,26,0.98
105,Coquimbo,CL,2020-09-28 14:38:13,-29.95,-71.34,57.2,71,75,2.24
106,Kahului,US,2020-09-28 14:38:13,20.89,-156.47,73.99,73,20,6.93
107,Tilichiki,RU,2020-09-28 14:38:13,60.47,166.1,35.29,90,2,3.02
108,Otjimbingwe,NA,2020-09-28 14:38:13,-22.35,16.13,87.12,8,0,15.17
109,Kuryk,KZ,2020-09-28 14:38:13,43.2,51.65,63.97,29,0,5.75
110,Bluff,NZ,2020-09-28 14:38:14,-46.6,168.33,36.0,79,96,20.0
111,Linxia,CN,2020-09-28 14:38:14,35.6,103.21,57.63,62,100,2.62
112,Blagoyevo,RU,2020-09-28 14:38:14,63.37,47.92,52.83,92,100,4.65
113,Georgetown,MY,2020-09-28 14:36:45,5.41,100.34,82.4,78,20,1.88
114,Ahipara,NZ,2020-09-28 14:38:14,-35.17,173.17,55.38,77,19,16.73
115,Champerico,GT,2020-09-28 14:38:15,14.3,-91.92,78.8,78,40,4.61
116,Lagoa,PT,2020-09-28 14:38:15,39.05,-27.98,69.78,88,100,15.97
117,Kapaa,US,2020-09-28 14:38:15,22.08,-159.32,78.8,78,40,9.17
118,Cockburn Town,TC,2020-09-28 14:35:39,21.46,-71.14,84.06,70,0,9.53
119,Viedma,AR,2020-09-28 14:38:15,-40.81,-63.0,70.0,33,20,8.01
120,Kollam,IN,2020-09-28 14:38:15,8.88,76.6,82.4,88,40,4.7
121,Khasan,RU,2020-09-28 14:38:15,42.43,130.64,59.92,84,3,3.6
122,Villa Union,MX,2020-09-28 14:38:16,23.2,-106.23,84.99,88,20,1.97
123,Cherskiy,RU,2020-09-28 14:38:16,68.75,161.3,40.41,70,92,14.09
124,Sitka,US,2020-09-28 14:38:16,57.05,-135.33,51.8,76,75,10.29
125,Kavieng,PG,2020-09-28 14:38:16,-2.57,150.8,81.21,75,84,8.3
126,Cabedelo,BR,2020-09-28 14:38:17,-6.98,-34.83,82.4,69,75,14.99
127,Cidreira,BR,2020-09-28 14:38:17,-30.18,-50.21,62.47,71,77,16.26
128,Ishigaki,JP,2020-09-28 14:38:09,24.34,124.16,80.08,72,74,14.9
129,Nadvoitsy,RU,2020-09-28 14:38:17,63.87,34.32,54.45,75,93,7.45
130,Abha,SA,2020-09-28 14:38:17,18.22,42.51,82.4,8,8,14.99
131,Nikolskoye,RU,2020-09-28 14:38:17,59.7,30.79,59.0,58,72,6.71
132,Acapulco,MX,2020-09-28 14:37:37,16.86,-99.89,78.8,83,90,6.93
133,Bethel,US,2020-09-28 14:38:18,41.37,-73.41,70.0,88,75,6.93
134,Auki,SB,2020-09-28 14:38:18,-8.77,160.7,77.2,85,93,4.12
135,Marigot,MF,2020-09-28 14:38:18,18.07,-63.08,86.0,74,20,10.29
136,Foz,ES,2020-09-28 14:38:19,43.57,-7.25,64.99,53,100,4.27
137,Gizo,SB,2020-09-28 14:38:19,-8.1,156.84,81.46,75,100,10.16
138,Capreol,CA,2020-09-28 14:38:19,46.71,-80.92,57.99,100,90,6.93
139,Kapit,MY,2020-09-28 14:38:19,2.02,112.93,74.97,84,100,2.19
140,Vanimo,PG,2020-09-28 14:38:20,-2.67,141.3,79.07,81,97,4.56
141,Poso,ID,2020-09-28 14:38:20,-1.4,120.75,76.26,78,83,5.88
142,Alofi,NU,2020-09-28 14:38:20,-19.06,-169.92,73.4,100,20,9.17
143,Bengkulu,ID,2020-09-28 14:38:20,-3.8,102.27,78.49,86,82,10.0
144,Jamestown,US,2020-09-28 14:38:20,42.1,-79.24,66.0,88,75,13.87
145,Carman,CA,2020-09-28 14:38:20,49.5,-98.0,48.0,93,75,17.22
146,Labuhan,ID,2020-09-28 14:38:21,-6.88,112.21,80.01,74,99,8.41
147,Samarai,PG,2020-09-28 14:38:21,-10.62,150.67,78.67,85,100,15.48
148,Balsas,BR,2020-09-28 14:37:16,-7.53,-46.04,101.1,18,0,9.17
149,Guiratinga,BR,2020-09-28 14:38:21,-16.35,-53.76,100.74,18,7,4.7
