City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Mataura,NZ,-46.19,168.86,44.4,87,97,3.13,overcast clouds
83,Myitkyina,MM,25.38,97.4,73.65,95,30,1.28,light rain
84,Amboasary,MG,-25.03,46.38,69.8,88,75,13.87,broken clouds
85,Alice Springs,AU,-23.7,133.88,64.4,34,0,9.17,clear sky
86,Souillac,MU,-20.52,57.52,68.0,88,75,5.82,broken clouds
87,Tapes,BR,-30.67,-51.4,68.5,87,81,6.58,broken clouds
88,Kuala Terengganu,MY,5.33,103.14,77.0,94,20,3.36,few clouds
89,Andenes,NO,69.31,16.12,51.8,87,93,6.93,overcast clouds
90,Champasak,LA,14.75,106.0,73.4,98,98,0.47,light rain
91,Airai,TL,-8.93,125.41,60.94,65,44,3.09,scattered clouds
92,Elmadag,TR,39.92,33.23,59.0,57,40,1.12,scattered clouds
93,Sao Miguel Do Araguaia,BR,-13.28,-50.16,91.31,20,1,3.09,clear sky
94,New Norfolk,AU,-42.78,147.06,54.0,64,90,5.01,light rain
95,Bredasdorp,ZA,-34.53,20.04,55.4,82,94,17.22,light rain
96,Mantua,IT,45.17,10.78,62.01,85,29,3.0,scattered clouds
97,Qaanaaq,GL,77.48,-69.36,11.35,79,0,6.13,clear sky
98,Eureka,US,40.8,-124.16,68.0,77,90,11.41,haze
99,Santiago De Cuba,CU,20.02,-75.82,80.6,78,75,12.75,broken clouds
100,Ostrovnoy,RU,68.05,39.51,44.55,89,21,14.74,few clouds
101,Jutai,BR,-5.18,-68.9,79.47,82,99,4.45,overcast clouds
102,Esperance,AU,-33.87,121.9,53.6,100,0,10.29,clear sky
103,Thompson,CA,55.74,-97.86,42.8,82,75,21.92,light intensity shower rain
104,Mar Del Plata,AR,-38.0,-57.56,59.0,54,90,11.41,light rain
105,Aykhal,RU,66.0,111.5,24.8,85,90,4.47,overcast clouds
106,Narsaq,GL,60.92,-46.05,32.0,81,52,1.12,broken clouds
107,Umm Kaddadah,SD,13.6,26.69,85.06,51,100,17.58,overcast clouds
108,Vaini,TO,-21.2,-175.2,77.0,88,75,10.29,broken clouds
109,Sechura,PE,-5.56,-80.82,70.93,62,12,19.91,few clouds
110,Verkhoyansk,RU,67.54,133.38,28.38,87,65,5.08,broken clouds
111,Acarau,BR,-2.89,-40.12,78.33,74,2,18.48,clear sky
112,Floro,NO,61.6,5.03,59.0,67,75,16.11,broken clouds
113,Gao,ML,16.64,1.64,95.07,23,70,8.77,broken clouds
114,Sola,VU,-13.88,167.55,80.6,78,90,11.41,overcast clouds
115,Preobrazheniye,RU,42.9,133.91,53.69,69,94,9.31,overcast clouds
116,Ati,TD,13.22,18.34,82.2,65,91,8.55,overcast clouds
117,Flinders,AU,-34.58,150.86,63.0,77,86,4.0,overcast clouds
118,Evensk,RU,61.95,159.23,44.71,84,98,3.89,overcast clouds
119,Semme,FR,46.2,1.5,57.0,82,100,5.82,overcast clouds
120,Tiksi,RU,71.69,128.87,28.24,96,100,22.35,overcast clouds
121,Cabo San Lucas,MX,22.89,-109.91,89.01,62,5,9.17,clear sky
122,Steamboat Springs,US,40.48,-106.83,75.0,12,1,9.17,clear sky
123,Katsuura,JP,35.13,140.3,66.2,88,90,6.93,light rain
124,Chuy,UY,-33.7,-53.46,61.0,86,75,6.35,broken clouds
125,Kaeo,NZ,-35.1,173.78,58.87,52,0,4.29,clear sky
126,Port Elizabeth,ZA,-33.92,25.57,59.0,77,75,16.11,broken clouds
127,Broken Hill,AU,-31.95,141.43,51.8,87,1,3.36,clear sky
128,Santa Fe,AR,-31.63,-60.7,90.0,41,0,4.56,clear sky
129,Anadyr,RU,64.75,177.48,42.8,81,20,5.88,few clouds
130,Kaitangata,NZ,-46.28,169.85,48.4,62,72,4.81,broken clouds
131,Bluff,NZ,-46.6,168.33,45.05,81,100,10.51,overcast clouds
132,Kuytun,RU,54.34,101.5,26.65,94,19,3.36,few clouds
133,Marzuq,YE,14.4,46.47,75.24,45,1,4.32,clear sky
134,Mocuba,MZ,-16.84,36.99,73.67,80,82,5.82,broken clouds
135,Margate,GB,51.38,1.39,60.01,95,100,5.01,light rain
136,Iqaluit,CA,63.75,-68.51,33.8,59,20,14.99,few clouds
137,Isangel,VU,-19.55,169.27,75.2,73,75,5.82,broken clouds
138,Punta Arenas,CL,-53.15,-70.92,39.2,48,75,14.99,broken clouds
139,Lebu,CL,-37.62,-73.65,49.33,64,0,8.97,clear sky
140,Leningradskiy,RU,69.38,178.42,34.21,83,57,2.35,broken clouds
141,Capreol,CA,46.71,-80.92,55.4,66,75,9.17,broken clouds
142,Ipixuna,BR,-1.76,-48.8,77.0,94,40,6.93,light rain
143,Arraial Do Cabo,BR,-22.97,-42.03,75.2,88,1,14.99,clear sky
144,Victor Harbor,AU,-35.57,138.62,48.0,90,30,7.45,scattered clouds
145,Homer,US,59.64,-151.55,55.99,76,75,11.41,light intensity shower rain
146,Lagoa,PT,39.05,-27.98,70.09,77,100,11.54,overcast clouds
147,Westport,US,41.14,-73.36,71.6,40,1,10.29,clear sky
