City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
530,Luziania,BR,87.8,scattered clouds,-16.25,-47.95,HOTEL SARON ÁGUAS CLARAS
531,La Primavera,CO,77.86,overcast clouds,5.49,-70.41,La Riviera Hotel Colonial
534,Hinesville,US,75.2,clear sky,31.85,-81.6,Holiday Inn Express & Suites Hinesville East - Fort Stewart
537,Kovur,IN,78.12,overcast clouds,14.48,79.98,Pleasant Stay
538,Estelle,US,80.01,clear sky,29.85,-90.11,Comfort Inn Marrero - New Orleans West
541,Riyadh,SA,78.8,clear sky,24.69,46.72,InterContinental Riyadh
542,Kloulklubed,PW,78.8,overcast clouds,7.04,134.26,Storyboard Beach Resort
544,Abonnema,NG,75.45,overcast clouds,4.71,6.79,Corper's Lodge Obonoma
550,Rajapalaiyam,IN,77.63,overcast clouds,9.45,77.57,RAM & CO
552,Sattahip,TH,78.8,few clouds,12.67,100.9,Makmai Sailom Heights
554,Veraval,IN,78.49,scattered clouds,20.9,70.37,Lords Inn Somnath
555,Isangel,VU,77.0,broken clouds,-19.55,169.27,Volcano Sea View Tree House
557,Kokoda,PG,81.93,overcast clouds,-8.88,147.74,Daito Guest House
559,Chilliwack,CA,75.0,clear sky,49.17,-121.94,Travelodge Hotel by Wyndham Chilliwack
561,Aswan,EG,86.16,clear sky,24.09,32.91,Nuba Nile
568,Olinda,BR,80.6,broken clouds,-8.01,-34.86,Hotel 5 Sóis
574,Rockport,US,82.4,clear sky,28.02,-97.05,Holiday Inn Express & Suites Rockport - Bay View
577,San Vicente,AR,80.17,light rain,-26.62,-54.13,Complejo Turístico Farelluk
578,Nisia Floresta,BR,78.8,scattered clouds,-6.09,-35.21,Rancho Crepusculo
582,Santa Cruz,BO,89.6,clear sky,-17.8,-63.17,Hotel Cortez
583,Jieshi,CN,77.0,broken clouds,22.81,115.83,Yuehai Hotel
587,San Jose,US,90.0,smoke,37.34,-121.89,The Westin San Jose
589,Ladario,BR,93.0,clear sky,-19.0,-57.6,Hotel Fazenda 4 cantos
590,Sampang,ID,82.11,overcast clouds,-7.19,113.24,sekretariat IKA STAIN
591,Arlit,NE,94.57,scattered clouds,18.74,7.39,Hôtel Telwa Bungalow
596,Levelland,US,91.99,clear sky,33.59,-102.38,Holiday Inn Express & Suites Levelland
601,Kangaba,ML,76.39,few clouds,11.93,-8.42,Hôtel Mandé
607,Jackson,US,84.0,smoke,42.42,-122.83,Agate Village Apartments
612,Eyl,SO,76.42,few clouds,7.98,49.82,Amiin Hotel
615,Safaga,EG,87.67,clear sky,26.73,33.94,Lamar Resort Abu Soma
621,Biak,ID,79.03,scattered clouds,-0.91,122.88,Kost Ariz
624,Mayumba,GA,75.4,overcast clouds,-3.43,10.66,LIKWALE LODGE
626,Tyler,US,84.2,clear sky,32.35,-95.3,Quality Inn Tyler - Lindale
627,Sumenep,ID,81.82,broken clouds,-7.02,113.87,OYO 3271 Homestay Pandian
629,Tamandare,BR,75.24,few clouds,-8.76,-35.1,Pousada 100 Passos
631,Matara,LK,78.06,overcast clouds,5.95,80.54,Amaloh Boutique Resort
640,Guayaquil,EC,84.2,few clouds,-2.17,-79.9,"Grand Hotel Guayaquil, an Ascend Hotel Collection Member"
642,Santa Rosa,PH,81.0,overcast clouds,14.31,121.11,Erlyn’s Sta Rosa City Home
648,Lamu,KE,75.2,scattered clouds,-2.27,40.9,Lamu House
649,Bosaso,SO,84.09,few clouds,11.28,49.18,Red Sea Hotel
658,Esna,EG,82.13,clear sky,25.29,32.55,Orient Star Dahabyia Isna 05 Nights Each Sunday
661,Tabou,CI,76.95,overcast clouds,4.42,-7.35,hotêl doufoulougou
662,Popondetta,PG,86.38,overcast clouds,-8.75,148.25,Timos Transit House
663,Auki,SB,78.75,very heavy rain,-8.77,160.7,Auki Motel
665,Lingao,CN,79.32,overcast clouds,19.91,109.69,Lingao Ditai Inn
668,Harper,LR,77.13,overcast clouds,4.38,-7.72,Screensaver
674,Ndioum,SN,89.6,clear sky,16.51,-14.65,l'hôtel samassa
675,Umm Lajj,SA,87.44,clear sky,25.02,37.27,Moon light Furnished Units
